link;brand;warranty;processor;ram;hardDrive;grapCard;capGrapCard;opSystem;screenSize;price
https://www.falabella.com.co/falabella-co/product/41748718/Portatil-Asus-Vivobook-15X-OLED-15.6-pulgadas-Intel-Core-i5-16GB-512GB/41748718;ASUS;1 año;Intel Core i5;16GB;512GB;;No aplica;Windows 11 Home;15.6 pulgadas;4.199.900
https://www.falabella.com.co/falabella-co/product/117692875/Portatil-Celeron-N4020-Memoria-Ram-4-disco-duro-Gb-500gb-Pantalla-14-Negro./117692876;GENERICO;6 meses;Intel celeron;4GB;500GB;Intel uhd graphics 600;;Windows;14;669.900
https://www.falabella.com.co/falabella-co/product/62830684/Portatil-Acer-Nitro-15.6-pulgadas-Intel-Core-i5-8GB-512GB-NVIDIA-GeForce-GTX-1650-4GB-GDDR6/62830684;ACER;1 año;Intel Core i5;8GB;512GB;;4GB;Windows 11;15.6 pulgadas;3.449.900
https://www.falabella.com.co/falabella-co/product/43948893/Portatil-Gamer-Asus-ROG-Strix-G15-15.6-Pulgadas-AMD-RYZEN-R7-16GB-512GB-NVIDIA-GEFORCE%C2%A0RTX%C2%A03050/43948893;ASUS;2 años;AMD RYZEN R7;16GB;512GB;;4GB;Windows 11 Home;15.6 pulgadas;6.299.900
https://www.falabella.com.co/falabella-co/product/119807277/Portatil-Hp-14-pulgadas-dq2520la-Core-I5-1135G7-8Gb-256-Gb-Win-10-Prueba/119807283;HP;12 meses;Intel core i5;;256GB;;;Free dos;14;1.929.900
https://www.falabella.com.co/falabella-co/product/61899466/Portatil-HP-Pavilion-15.6-pulgadas-Intel-Core-i5-16GB-512GB/61899466;HP;1 año;Intel Core i5;16GB;512GB;;No aplica;Windows 11;15.6 pulgadas;3.199.900
https://www.falabella.com.co/falabella-co/product/117775991/Portatil-asus-x415ja-bv2029-intel-core-i3-1005g1-ram-12-gb-ssd-256-pantalla-14-/117775992;ASUS;12 meses;Intel core i3;12GB;256GB;;No aplica;Endless os;14;1.499.000
https://www.falabella.com.co/falabella-co/product/prod12690010/MacBook-Air-Chip-M2-CPU-8-nucleos-GPU-8%C2%A0nucleos-256GB-SSD-MLXW3E-A-13.6-pulgadas/36766410;APPLE;1 año;Chip M2;8GB;256GB;;No aplica;macOS;13.6 pulgadas;7.649.900
https://www.falabella.com.co/falabella-co/product/68456814/Portatil-Hp-15-Amd-Ryzen-5-512Gb-Ssd-12Gb-Ram/68456814;HP;;Amd ryzen r5;12gb;512gb;;No aplica;De fabricante;15.6 pulgadas;1.899.900
https://www.falabella.com.co/falabella-co/product/62848660/Apple-Mac-Mini-Chip-M2-MMFJ3LZ-A/62848660;APPLE;1 año;Apple Chip M2;8GB;256GB;;No aplica;macOS;No aplica;3.749.900
https://www.falabella.com.co/falabella-co/product/118670203/Portatil-Lenovo-IdeaPad-14ADA05-platinum-gray-14-AMD-Athlon-Silver-3050U-8-GB-256GB-FreeDOS/118670205;LENOVO;12 meses;AMD athlon;8GB;256GB;;No aplica;Free dos;14;1.149.900
https://www.falabella.com.co/falabella-co/product/62830683/Portatil-Acer-Nitro-15.6-pulgadas-Intel-Core-i5-8GB-512GB-NVIDIA-GeForce-RTX-3050-4GB-GDDR6/62830683;ACER;1 año;Intel Core i5;8GB;512GB;;4GB;Windows 11;15.6 pulgadas;4.099.900
https://www.falabella.com.co/falabella-co/product/41748717/Portatil-Asus-Vivobook-15-15.6-pulgadas-Intel-Core-i5-16GB-512GB/41748717;ASUS;1 año;Intel Core i5;16GB;512GB;;No aplica;Windows 11 Home;15.6 pulgadas;3.299.900
https://www.falabella.com.co/falabella-co/product/119330009/Portatil-Lenovo-Ideapad-3-14ITL6-Core-i5-RAM-12GB-256GB-SSD-14-pulgadas/119330010;LENOVO;12 meses;Intel core i5;12GB;256GB;Inter Iris Xe;No aplica;Linux;14;2.149.900
https://www.falabella.com.co/falabella-co/product/35129541/Portatil-HP-15.6-Pulgadas-AMD-Ryzen-R7-16GB-512GB/35129541;HP;1 año;AMD RYZEN R7;16GB;512GB;;No aplica;Windows 11 home;15.6 pulgadas;3.399.900
https://www.falabella.com.co/falabella-co/product/62830685/Portatil-Acer-Aspire-5-15.6-pulgadas-Intel-Core-i5-8GB-512GB/62830685;ACER;1 año;Intel Core i5;8GB;512GB;;No aplica;Windows 11;15.6 pulgadas;2.899.900
https://www.falabella.com.co/falabella-co/product/119928293/Asus-x415ea-ek1183-core-i5-1135g7-ram12gb-ssd-256gb-14-fhd-endless/119928295;ASUS;12 meses;Intel core i5;12GB;256GB;;;Linux;14;2.099.900
https://www.falabella.com.co/falabella-co/product/46611530/Portatil-Gamer-Asus-Strix-G15-15.6-Pulgadas-AMD-RYZEN-R7-16GB-1TB-NVIDIA-GeForce%C2%A0RTX-3060/46611530;ASUS;2 años;AMD RYZEN R7;16GB;1TB;;6GB;Windows 11 Home;15.6 pulgadas;8.199.900
https://www.falabella.com.co/falabella-co/product/119564507/Portatil-Dell-Inspiron-15-3515-Ryzen-5-3450U-Ram-8Gb-Ssd-256Gb-Pantalla-15,6-Hd/119564508;DELL;1 año;AMD ryzen 5;8GB;256GB;Integrada;No aplica;Endless os;15;1.549.000
https://www.falabella.com.co/falabella-co/product/60839888/Portatil-Gamer-Lenovo-IdeaPad-Gaming-3-15.6-pulgadas-Intel-Core-i7-16GB-512GB/60839888;LENOVO;1 Año;Intel Core i7;16GB;512GB;;4GB;Windows 11;15.6 pulgadas;6.599.900
https://www.falabella.com.co/falabella-co/product/119036807/Portatil-HP-240-G7-Intel-Celeron-N4020-4GB-500GB-FreeDOS/119036808;HP;12 meses;Intel celeron;4GB;500GB;Integrada;No aplica;Free dos;14;859.900
https://www.falabella.com.co/falabella-co/product/60645743/Portatil-Asus-Vivobook-Pro-15.6-pulgadas-AMD-RYZEN-R5-8GB-512GB/60645743;ASUS;1 año;AMD RYZEN R5;8GB;512GB;;4GB;Windows 11 Home;15.6 pulgadas;3.999.900
https://www.falabella.com.co/falabella-co/product/119399598/Portatil-HP-14-DQ0517LA-Intel-Celeron-N4120-256GB-SSD-4GB/119399601;HP;12 meses;Intel celeron;4GB;1TB;Integrada;No aplica;Free dos;14;909.900
https://www.falabella.com.co/falabella-co/product/33662669/Portatil-Xpg-Xenia-Xe-Intel-Core-I7-1Tb-Ssd-16Gb/33662669;Xpg;12 meses;Intel core i7;16gb;1tb;;No aplica;Windows 10 home;15.6 pulgadas;4.459.900
https://www.falabella.com.co/falabella-co/product/62848659/Macbook-Pro-Chip-M2-Pro-16GB-512GB-MNW83E-A-16-pulgadas/62848659;APPLE;1 año;Apple Chip M2 Pro;16GB;512GB;;No aplica;macOS;16 pulgadas;15.249.900
https://www.falabella.com.co/falabella-co/product/120542046/PORTATIL-ASUS-M513UA-L1304-AMD-RYZEN-7-5700U-16GB-DDR4-512GB-SSD-PANTALLA-15,6-OLED-FHD/120542047;ASUS;12 MESES;AMD ryzen 7;16GB;512GB;No aplica;No aplica;Free dos;15;3.210.000
https://www.falabella.com.co/falabella-co/product/116628579/Portatil-Dell-VOSTRO-3405-RYZEN-5-RAM-8GB-256GB-SSD-14-LINUX/116628580;DELL;12 Meses;AMD ryzen 5;8GB;256GB;AMD radeon rx vega 8;No aplica;Linux;14;1.629.000
https://www.falabella.com.co/falabella-co/product/21470822/Portatil-Lenovo-Idea-14itl6-Core-I3-11va-4gb-1tb/21470822;Lenovo;12 Meses;Intel Core i3;4GB;1TB;;No aplica;Linux;14 pulgadas;1.399.000
https://www.falabella.com.co/falabella-co/product/60839885/Portatil-Gamer-Lenovo-Legion-5-15.6-pulgadas-AMD-Ryzen-R7-16GB-512GB/60839885;LENOVO;1 Año;AMD RYZEN R7;16GB;512GB;;6GB;Windows 11;15.6 pulgadas;7.299.900
https://www.falabella.com.co/falabella-co/product/65759026/Portatil-Hp-245-G8-14-Pulgadas-Ryzen-3-16Gb-256Gb/65759026;HP;1 año;Amd ryzen r3;16gb;256gb;;No aplica;De fabricante;14 pulgadas;2.999.900
https://www.falabella.com.co/falabella-co/product/68313717/Portatil-Hp-14-Dq0517La-Intel-Celeron-N4120-256Gb/68313717;HP;;Intel celeron;4gb;256gb;;No aplica;De fabricante;14 pulgadas;959.900
https://www.falabella.com.co/falabella-co/product/120458597/Portatil-Ryzen-7-5800u-Ram-16-Gb-Ssd-512-Win-11-Pro-Teclado-Iluminado./120458598;GENERICO;1 año;AMD ryzen 7;16GB;512GB;AMD radeon r7 graphics;No aplica;Windows 11 Pro;14;1.959.800
https://www.falabella.com.co/falabella-co/product/119958929/Portatil-Asus-E1504FA-NJ474-Ryzen-5-7520U-Ram-16GB-SSD-512GB-Pantalla-156FHD/119958931;ASUS;12 MESES;AMD ryzen 5;16GB;512GB;AMD Radeon Grafics;No aplica;Endless os;15;2.419.000
https://www.falabella.com.co/falabella-co/product/64028806/Portatil-Lenovo-Intel-Core-I7-8Gb-1T-128-Gb-Ssd/64028806;LENOVO;1 año;Intel core i7;8gb;128gb SSD & 1tb HDD;;2gb;De fabricante;15.6 pulgadas;4.999.900
https://www.falabella.com.co/falabella-co/product/62848833/Macbook-Pro-Chip-M2-Pro-16GB-512-GB-MPHE3E-A-14-pulgadas/62848833;APPLE;1 año;Apple Chip M2 Pro;16GB;512GB;;No aplica;macOS;14 pulgadas;12.699.900
https://www.falabella.com.co/falabella-co/product/117139445/Portatil-HP-245-G8-Ryzen-5-Ram-8Gb-SSD-256Gb-14-Linux/117139446;HP;12 meses;AMD ryzen 5;8GB;256GB;;No aplica;Linux;14;1.499.888
https://www.falabella.com.co/falabella-co/product/116628596/Combo-Portatil-Lenovo-V14-ARE-Ryzen-7-RAM-8GB-1TB-HDD-14-Free-Dos-Antivirus/116628599;LENOVO;1 año;AMD ryzen 7;8GB;1TB;Integrada;No aplica;Free dos;14;2.259.900
https://www.falabella.com.co/falabella-co/product/prod12170016/MacBook-Pro-Chip-M1-Pro-512GB-SSD-MKGP3E-A-14.2-Pulgadas/21314324;APPLE;1 año;Chip M1 Pro;16GB;512GB;;No aplica;macOS;14.2 pulgadas;10.999.900
